"","song","artist","type","lvar","lave","lmax","lfener","lfreq","range","lfreq_range"
"52","Ticket to Ride","Beatles","Rock",68104547,-6.1449114,30415,111.59957,107.30853,0.167997860342155,350.88187
"53","Help","Beatles","Rock",52569372.5,-5.7166301,32318,110.34618,137.10594,0.243956045244627,350.88187
"54","Yesterday","Beatles","Rock",23080907.6,-6.0298337,28169,107.30541,173.50631,0.336746191602261,350.88187
"55","Yellow Submarine","Beatles","Rock",39908667.5,-6.2616915,29061,109.47442,91.49508,0.127686942076238,350.88187
"56","Eleanor Rigby","Beatles","Rock",18819753.2,-6.1265193,21680,108.65894,164.92667,0.314875368550303,350.88187
"57","Penny Lane","Beatles","Rock",58614798.7,-5.9971242,31131,111.18901,92.4624,0.130152789658959,350.88187
"58","Waterloo","Abba","Rock",24898675.9,-93.9961871,29830,107.73299,146.04306,0.266738139844647,350.88187
"59","Hey Jude","Beatles","Rock",8651854.1,-6.1322408,18509,83.88195,219.53773,0.454087366948822,350.88187
"60","The Memory of Trees","Enya","New wave",1135493.1,-10.6183398,9994,102.16132,155.0643,0.683889328491471,106.04682
"61","Anywhere Is","Enya","New wave",12230252.2,-17.83727,24968,105.75748,79.31957,0.195416288597698,106.04682
"62","Pax Deorum","Enya","New wave",1723627.9,-6.8327065,13227,101.86845,49.01748,0,106.04682
